DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
220106345,02/10/2022 12:00:00 AM,02/08/2022 12:00:00 AM,2130,1,Central,171,2,950,"DEFRAUDING INNKEEPER/THEFT OF SERVICES, OVER $950.01",0344 1402 1822 1501 1420,0,F,W,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,950.0,998.0,,,800 W  OLYMPIC                      BL,,34.045,-118.264
231908094,04/16/2023 12:00:00 AM,04/15/2023 12:00:00 AM,2250,19,Mission,1915,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 0432,32,M,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,14200    HERRON                       ST,,34.3015,-118.4418
221511965,07/03/2022 12:00:00 AM,07/01/2022 12:00:00 AM,800,15,N Hollywood,1526,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,0,M,O,101.0,STREET,,,IC,Invest Cont,740.0,,,,6200    FARMDALE                     AV,,34.1849,-118.3812
231507296,03/21/2023 12:00:00 AM,03/20/2023 12:00:00 AM,2300,15,N Hollywood,1513,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,6600    WILKINSON                    AV,,34.1912,-118.4041
211306759,03/03/2021 12:00:00 AM,03/03/2021 12:00:00 AM,1130,13,Newton,1363,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,51ST                         ST,AVALON                       BL,33.9966,-118.2652
210616241,09/21/2021 12:00:00 AM,09/14/2021 12:00:00 AM,2200,6,Hollywood,645,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1300,60,F,W,101.0,STREET,,,IC,Invest Cont,740.0,,,,1700    EL CERRITO                   PL,,34.1015,-118.3447
230111614,05/01/2023 12:00:00 AM,04/30/2023 12:00:00 AM,800,1,Central,165,2,354,THEFT OF IDENTITY,0344 0930,58,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,200 E  6TH                          ST,,34.0446,-118.249
230709660,05/15/2023 12:00:00 AM,05/15/2023 12:00:00 AM,440,7,Wilshire,752,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1822 0443,53,F,O,203.0,OTHER BUSINESS,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,1200 S  FAIRFAX                      AV,,34.0558,-118.3706
221215459,07/10/2022 12:00:00 AM,07/10/2022 12:00:00 AM,1250,12,77th Street,1239,1,210,ROBBERY,0342 1822 0355 0213 0302 0334 0344 0370,23,M,B,210.0,RESTAURANT/FAST FOOD,106.0,UNKNOWN FIREARM,IC,Invest Cont,210.0,,,,5900 S  VERMONT                      AV,,33.9872,-118.2915
200610293,05/14/2020 12:00:00 AM,05/14/2020 12:00:00 AM,1410,6,Hollywood,638,2,624,BATTERY - SIMPLE ASSAULT,0400 1822 0447 0416 2004,26,F,A,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,,,,5500    HOLLYWOOD                    BL,,34.1038,-118.3151
211012771,09/27/2021 12:00:00 AM,03/11/2020 12:00:00 AM,951,10,West Valley,1008,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 1802 1414 0913,52,M,H,217.0,AUTO REPAIR SHOP,214.0,ICE PICK,IC,Invest Cont,230.0,,,,VAN NUYS                     BL,SOPHIA                       AV,34.2077,-118.4912
230312557,06/22/2023 12:00:00 AM,06/21/2023 12:00:00 AM,2215,3,Southwest,395,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1700 W  43RD                         PL,,34.0046,-118.3089
200216284,10/17/2020 12:00:00 AM,10/16/2020 12:00:00 AM,230,2,Rampart,257,1,310,BURGLARY,0400 0329 0344 0352 0321 1601,31,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,1300    INGRAHAM                     ST,,34.0531,-118.2672
201318044,10/06/2020 12:00:00 AM,10/06/2020 12:00:00 AM,930,13,Newton,1331,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0346,0,X,X,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440.0,,,,100 W  32ND                         ST,,34.02,-118.2718
200618769,12/03/2020 12:00:00 AM,12/03/2020 12:00:00 AM,1,6,Hollywood,666,1,330,BURGLARY FROM VEHICLE,1300 1609 0344 1822 0329,30,F,W,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,330.0,,,,CAHUENGA,SUNSET,34.098,-118.3295
201807022,02/22/2020 12:00:00 AM,02/22/2020 12:00:00 AM,125,18,Southeast,1802,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1100 0430 1402 1822 1407,21,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,,,,89TH                         ST,WALL,33.9556,-118.2717
200611399,06/14/2020 12:00:00 AM,06/13/2020 12:00:00 AM,600,6,Hollywood,645,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0417 0448 1822,48,M,B,401.0,MINI-MART,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,7000 W  SUNSET                       BL,,34.098,-118.3416
220508363,04/25/2022 12:00:00 AM,04/24/2022 12:00:00 AM,1900,5,Harbor,513,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,1600 W  PACIFIC COAST                HY,,33.7909,-118.2858
211606655,04/04/2021 12:00:00 AM,04/04/2021 12:00:00 AM,930,16,Foothill,1676,2,625,OTHER ASSAULT,0416 1822,22,M,H,402.0,MARKET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625.0,,,,8800    GLENOAKS                     BL,,34.2287,-118.3653
201710929,05/31/2020 12:00:00 AM,03/11/2020 12:00:00 AM,1915,17,Devonshire,1721,2,354,THEFT OF IDENTITY,1202 1822,66,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,10000    LARWIN                       AV,,34.2544,-118.6174
210205552,02/09/2021 12:00:00 AM,02/09/2021 12:00:00 AM,1740,2,Rampart,275,2,888,TRESPASSING,0345 1402 1822,0,M,W,108.0,PARKING LOT,,,IC,Invest Cont,888.0,998.0,,,1600 W  OLYMPIC                      BL,,34.0492,-118.2742
201614497,11/03/2020 12:00:00 AM,11/03/2020 12:00:00 AM,1700,16,Foothill,1677,2,354,THEFT OF IDENTITY,1202 1822,63,F,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,9900    EDMORE                       PL,,34.2183,-118.3468
220412361,08/23/2022 12:00:00 AM,08/23/2022 12:00:00 AM,45,4,Hollenbeck,479,1,310,BURGLARY,0342 0329 0344 1609,0,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,3700    WHITTIER                     BL,,34.0245,-118.1937
201112217,08/05/2020 12:00:00 AM,08/04/2020 12:00:00 AM,1700,11,Northeast,1145,1,320,"BURGLARY, ATTEMPTED",1822 0358 1607,0,X,X,203.0,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,320.0,,,,2400 W  RIVERSIDE                    DR,,34.1049,-118.2545
200311601,05/19/2020 12:00:00 AM,05/19/2020 12:00:00 AM,900,3,Southwest,375,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1307,37,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,ST ANDREWS                   PL,39TH                         ST,34.0137,-118.3111
231714486,09/06/2023 12:00:00 AM,09/06/2023 12:00:00 AM,205,10,West Valley,1015,1,510,VEHICLE - STOLEN,1402 2004,0,M,W,101.0,STREET,,,IC,Invest Cont,510.0,998.0,,,7500    NESTLE                       AV,,34.2066,-118.5306
210610411,05/29/2021 12:00:00 AM,05/29/2021 12:00:00 AM,2100,6,Hollywood,625,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1218 0400 1822 0431,26,M,O,101.0,STREET,512.0,MACE/PEPPER SPRAY,IC,Invest Cont,230.0,,,,HIGHLAND                     AV,FRANKLIN,34.1052,-118.3375
211804878,01/18/2021 12:00:00 AM,01/18/2021 12:00:00 AM,1250,18,Southeast,1822,1,210,ROBBERY,0906 1300 0344 0371 1822 0342 0302 0337,18,M,H,101.0,STREET,109.0,SEMI-AUTOMATIC PISTOL,IC,Invest Cont,210.0,,,,107TH                        ST,GRAND,33.9469,-118.2772
210215592,10/04/2021 12:00:00 AM,10/01/2021 12:00:00 AM,1500,2,Rampart,247,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0385 0344 1608 1822 1300,29,F,H,101.0,STREET,,,IC,Invest Cont,420.0,,,,300 S  BONNIE BRAE                  ST,,34.0611,-118.2708
221413640,07/11/2022 12:00:00 AM,07/05/2022 12:00:00 AM,625,14,Pacific,1496,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,9800    VICKSBURG                    AV,,33.9473,-118.394
201811926,05/29/2020 12:00:00 AM,05/29/2020 12:00:00 AM,2020,18,Southeast,1841,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,0913 2000 1814 0416 0446 0419 2004 1218,25,F,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,BROADWAY,117TH                        ST,33.9367,-118.2871
220707042,03/21/2022 12:00:00 AM,03/19/2022 12:00:00 AM,1800,7,Wilshire,762,1,310,BURGLARY,1602 0344 0329,25,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,5900    SATURN                       ST,,34.0498,-118.3678
212106482,03/12/2021 12:00:00 AM,03/01/2021 12:00:00 AM,1930,21,Topanga,2125,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,40,F,H,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,21600    SATICOY                      ST,,34.2119,-118.6017
222019738,12/25/2022 12:00:00 AM,12/21/2022 12:00:00 AM,1650,20,Olympic,2083,1,310,BURGLARY,0358 0321 1609 1822,51,M,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,1700 S  OXFORD                       AV,,34.0423,-118.3077
211907816,04/20/2021 12:00:00 AM,04/17/2021 12:00:00 AM,910,19,Mission,1925,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,64,F,W,108.0,PARKING LOT,,,IC,Invest Cont,331.0,,,,12200    FRANK MODUGNO                DR,,34.2928,-118.4493
231304552,01/11/2023 12:00:00 AM,01/10/2023 12:00:00 AM,2030,13,Newton,1351,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,33,M,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,4200 S  GRAND                        AV,,34.0074,-118.2806
201016530,12/30/2020 12:00:00 AM,12/30/2020 12:00:00 AM,745,10,West Valley,1039,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,6700    HASKELL                      AV,,34.192,-118.4749
222018883,09/27/2022 12:00:00 AM,09/26/2022 12:00:00 AM,1647,20,Olympic,2076,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344,21,M,H,109.0,PARK/PLAYGROUND,,,IC,Invest Cont,440.0,,,,1500 S  NORMANDIE                    AV,,34.0455,-118.3003
221821389,11/30/2022 12:00:00 AM,11/30/2022 12:00:00 AM,2328,18,Southeast,1871,2,753,DISCHARGE FIREARMS/SHOTS FIRED,1100 1407,0,X,X,203.0,OTHER BUSINESS,106.0,UNKNOWN FIREARM,IC,Invest Cont,753.0,998.0,,,14200 S  FIGUEROA                     ST,,33.9028,-118.2828
221409637,04/22/2022 12:00:00 AM,04/21/2022 12:00:00 AM,2030,14,Pacific,1435,1,510,VEHICLE - STOLEN,,0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,510.0,,,,3700    INGLEWOOD                    BL,,34.0082,-118.4306
221712109,08/09/2022 12:00:00 AM,08/08/2022 12:00:00 AM,2200,17,Devonshire,1747,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0385,49,M,H,101.0,STREET,,,IC,Invest Cont,331.0,,,,16800    CHATSWORTH                   ST,,34.2647,-118.4979
220707596,04/04/2022 12:00:00 AM,04/04/2022 12:00:00 AM,1514,7,Wilshire,759,2,354,THEFT OF IDENTITY,1501,35,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,1100 S  BRONSON                      AV,,34.0495,-118.3215
230310097,04/27/2023 12:00:00 AM,04/27/2023 12:00:00 AM,1240,3,Southwest,325,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1822 0443 1309,35,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,2600 S  BUDLONG                      AV,,34.0328,-118.2959
230110388,04/10/2023 12:00:00 AM,04/10/2023 12:00:00 AM,220,1,Central,162,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,0,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,500 W  7TH                          ST,,34.0466,-118.2555
230510695,07/04/2023 12:00:00 AM,07/04/2023 12:00:00 AM,1600,5,Harbor,513,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1309 0302 1218 0913 0369 0421 0360 0334,50,M,H,101.0,STREET,102.0,HAND GUN,IC,Invest Cont,230.0,,,,VERMONT,PACIFIC COAST,33.791,-118.2949
211518969,12/22/2021 12:00:00 AM,12/21/2021 12:00:00 AM,2350,15,N Hollywood,1599,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,10900    ALTA VIEW                    DR,,34.1321,-118.3685
210815570,10/19/2021 12:00:00 AM,09/27/2021 12:00:00 AM,1310,8,West LA,833,1,480,BIKE - STOLEN,1202 0344 1822,60,F,W,146.0,PATIO*,,,IC,Invest Cont,480.0,,,,10800    WELLWORTH                    AV,,34.0575,-118.4406
200110843,04/22/2020 12:00:00 AM,04/21/2020 12:00:00 AM,1230,1,Central,195,1,330,BURGLARY FROM VEHICLE,0344 1300 0352 1822,49,M,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,S  MAIN                         ST,W  WASHINGTON                   BL,34.0311,-118.2646
230207993,03/24/2023 12:00:00 AM,03/24/2023 12:00:00 AM,1200,2,Rampart,257,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,46,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341.0,,,,1200 W  7TH                          ST,,34.0552,-118.2675
211423566,12/28/2021 12:00:00 AM,12/28/2021 12:00:00 AM,645,14,Pacific,1412,1,761,BRANDISH WEAPON,0334 1402 2004 1822,42,M,O,707.0,GARAGE/CARPORT,203.0,DIRK/DAGGER,IC,Invest Cont,761.0,998.0,,,00    OZONE                        AV,,33.9956,-118.4805
200118711,09/30/2020 12:00:00 AM,09/30/2020 12:00:00 AM,1200,1,Central,101,1,480,BIKE - STOLEN,1822 1420 0344,29,M,W,121.0,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,480.0,,,,1200    LILAC                        PL,,34.0721,-118.2481
201206325,02/02/2020 12:00:00 AM,02/02/2020 12:00:00 AM,700,12,77th Street,1256,2,901,VIOLATION OF RESTRAINING ORDER,2038 1813 0913,28,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,901.0,,,,500 W  75TH                         ST,,33.9717,-118.2827
220409952,06/18/2022 12:00:00 AM,06/17/2022 12:00:00 AM,5,4,Hollenbeck,477,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,900    MARIETTA                     ST,,34.0323,-118.2111
200405671,02/13/2020 12:00:00 AM,02/12/2020 12:00:00 AM,2300,4,Hollenbeck,491,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1200 S  BOYLE                        AV,,34.0286,-118.2206
200122860,12/28/2020 12:00:00 AM,12/28/2020 12:00:00 AM,700,1,Central,111,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 1814 0913,25,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,500 N  BROADWAY,,34.058,-118.241
201822502,12/23/2020 12:00:00 AM,12/23/2020 12:00:00 AM,145,18,Southeast,1863,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822 0216 0910,0,X,X,956.0,MTA - GREEN LINE - AVALON,514.0,TIRE IRON,IC,Invest Cont,745.0,,,,11600    AVALON                       BL,,33.9283,-118.2652
220311674,06/03/2022 12:00:00 AM,05/29/2022 12:00:00 AM,1600,3,Southwest,361,2,624,BATTERY - SIMPLE ASSAULT,0342 1258 2024 1251 0419 0416 0446 0444,13,F,B,109.0,PARK/PLAYGROUND,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,4000 S  LA BREA                      AV,,34.0148,-118.3555
220321397,12/05/2022 12:00:00 AM,03/22/2022 12:00:00 AM,1200,3,Southwest,325,2,354,THEFT OF IDENTITY,0100 1258 0913 0344,9,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,1400 W  27TH                         ST,,34.0305,-118.2915
220111651,05/04/2022 12:00:00 AM,04/26/2022 12:00:00 AM,1900,1,Central,121,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,900 W  TEMPLE                       ST,,34.0607,-118.2494
211105176,02/05/2021 12:00:00 AM,02/04/2021 12:00:00 AM,1650,11,Northeast,1105,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400 0444 0913 1813 0429,25,F,A,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,5100 N  MAYWOOD                      AV,,34.1393,-118.2116
211705484,02/09/2021 12:00:00 AM,02/09/2021 12:00:00 AM,2050,17,Devonshire,1745,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,17000    SAN JOSE                     ST,,34.2612,-118.5023
220610449,05/15/2022 12:00:00 AM,05/15/2022 12:00:00 AM,340,6,Hollywood,638,1,330,BURGLARY FROM VEHICLE,0344 1822 1501 1300 1307 0326 1609,32,M,W,707.0,GARAGE/CARPORT,,,IC,Invest Cont,330.0,,,,1800    GARFIELD                     PL,,34.1036,-118.3108
200910486,06/03/2020 12:00:00 AM,06/03/2020 12:00:00 AM,1700,9,Van Nuys,914,1,510,VEHICLE - STOLEN,,0,,,104.0,DRIVEWAY,,,IC,Invest Cont,510.0,,,,15100    VOSE                         ST,,34.1985,-118.4621
201813950,07/13/2020 12:00:00 AM,07/13/2020 12:00:00 AM,2255,18,Southeast,1862,1,210,ROBBERY,1822 0400 0429 0444 0344 0346,18,M,H,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,FIGUEROA                     ST,117TH                        ST,33.9274,-118.2826
222110448,06/12/2022 12:00:00 AM,04/15/2022 12:00:00 AM,1815,21,Topanga,2156,2,662,"BUNCO, GRAND THEFT",0800 1822 0344,47,F,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,662.0,,,,6200    OWENSMOUTH                   AV,,34.1829,-118.6015
211414111,06/28/2021 12:00:00 AM,06/28/2021 12:00:00 AM,1120,14,Pacific,1431,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004,0,X,X,202.0,LIQUOR STORE,,,IC,Invest Cont,442.0,,,,1300 S  MAIN                         ST,,33.9897,-118.4724
210507645,03/29/2021 12:00:00 AM,03/24/2021 12:00:00 AM,1030,5,Harbor,519,2,666,"BUNCO, ATTEMPT",0344 0701 0800 1236 1916,0,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,666.0,,,,2400 E  PACIFIC COAST                HY,,33.7907,-118.229
210514721,10/10/2021 12:00:00 AM,10/09/2021 12:00:00 AM,1830,5,Harbor,524,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,400 N  WILMINGTON                   BL,,33.7749,-118.2764
220508282,04/22/2022 12:00:00 AM,04/22/2022 12:00:00 AM,1940,5,Harbor,525,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),1300 0385,47,M,W,101.0,STREET,,,IC,Invest Cont,331.0,,,,AVALON,HARRY BRIDGE,33.7739,-118.2678
211605478,02/20/2021 12:00:00 AM,02/20/2021 12:00:00 AM,1100,16,Foothill,1687,1,310,BURGLARY,0344 0321,39,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,11100    ARMINTA                      ST,,34.2178,-118.373
232113020,08/17/2023 12:00:00 AM,08/16/2023 12:00:00 AM,1945,21,Topanga,2113,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0603 0449 0913 0377 0421 0422,54,F,O,501.0,SINGLE FAMILY DWELLING,205.0,KITCHEN KNIFE,IC,Invest Cont,230.0,,,,7800    KENTLAND                     AV,,34.2119,-118.6176
221505537,02/05/2022 12:00:00 AM,02/05/2022 12:00:00 AM,1730,15,N Hollywood,1599,2,647,THROWING OBJECT AT MOVING VEHICLE,1300,42,F,W,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,647.0,,,,CAHUENGA,LANKERSHIM,34.1372,-118.3633
210513584,09/10/2021 12:00:00 AM,08/31/2021 12:00:00 AM,637,5,Harbor,551,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300 1309,43,F,B,101.0,STREET,,,IC,Invest Cont,420.0,,,,1400 W  3RD                          ST,,33.7416,-118.3065
220114856,06/24/2022 12:00:00 AM,06/23/2022 12:00:00 AM,2100,1,Central,182,1,510,VEHICLE - STOLEN,,0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,510.0,,,,1200 S  FIGUEROA                     ST,,34.0419,-118.2669
200116191,08/10/2020 12:00:00 AM,08/10/2020 12:00:00 AM,2145,1,Central,105,1,441,THEFT PLAIN - ATTEMPT,1402 1501 1822,39,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,441.0,998.0,,,1000 N  BROADWAY,,34.0714,-118.2329
201106022,02/14/2020 12:00:00 AM,02/14/2020 12:00:00 AM,2030,11,Northeast,1171,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344,30,M,W,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,331.0,,,,1500    GRIFFITH PARK                BL,,34.0899,-118.277
221614498,11/22/2022 12:00:00 AM,11/22/2022 12:00:00 AM,2205,16,Foothill,1684,2,946,OTHER MISCELLANEOUS CRIME,1501,0,M,O,726.0,POLICE FACILITY,,,IC,Invest Cont,946.0,,,,7800    LANKERSHIM                   BL,,34.2166,-118.3919
210714148,10/12/2021 12:00:00 AM,10/08/2021 12:00:00 AM,555,7,Wilshire,719,1,310,BURGLARY,1601 1822,0,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,310.0,,,,600 N  LARCHMONT                    BL,,34.0817,-118.3237
220915787,11/05/2022 12:00:00 AM,11/04/2022 12:00:00 AM,1500,9,Van Nuys,974,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329,37,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740.0,,,,4700    WILLIS                       AV,,34.156,-118.4553
202005094,01/25/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2300,20,Olympic,2033,1,761,BRANDISH WEAPON,0334 1804 0432 0913,29,M,H,733.0,BAR/SPORTS BAR (OPEN DAY & NIGHT),201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,761.0,,,,8TH                          ST,OXFORD                       AV,34.0577,-118.3078
212115840,10/31/2021 12:00:00 AM,10/30/2021 12:00:00 AM,1800,21,Topanga,2144,1,310,BURGLARY,0321 1606 0344,50,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,22600    CRISWELL                     ST,,34.1906,-118.6189
222008105,04/06/2022 12:00:00 AM,04/04/2022 12:00:00 AM,1815,20,Olympic,2014,2,624,BATTERY - SIMPLE ASSAULT,0329 0416 0446 1300 1822,64,M,O,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,745.0,,,4000 W  3RD                          ST,,34.0726,-118.3029
230711477,06/30/2023 12:00:00 AM,06/27/2023 12:00:00 AM,330,7,Wilshire,777,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1513 0903 1536 0913 0444 0429 0408 0416 0449 2034,42,M,A,501.0,SINGLE FAMILY DWELLING,302.0,BLUNT INSTRUMENT,IC,Invest Cont,230.0,,,,1800    BUCKINGHAM                   RD,,34.0419,-118.3352
231810800,05/22/2023 12:00:00 AM,04/18/2023 12:00:00 AM,1435,18,Southeast,1802,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 0394,48,F,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,440.0,,,,9100 S  FIGUEROA                     ST,,33.9542,-118.2827
201414479,07/27/2020 12:00:00 AM,07/04/2020 12:00:00 AM,1525,14,Pacific,1477,2,354,THEFT OF IDENTITY,0377,56,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,8000    CROYDON                      AV,,33.9649,-118.3925
200213004,07/25/2020 12:00:00 AM,07/25/2020 12:00:00 AM,600,2,Rampart,231,2,624,BATTERY - SIMPLE ASSAULT,0913 1820 0444 1206,31,F,H,735.0,NIGHT CLUB (OPEN EVENINGS ONLY),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,2800    BEVERLY                      BL,,34.0721,-118.2818
